Player_Name	Role	Matches	Runs	Balls_Faced	100s	50s	Wickets	Overs_Bowled	Runs_Conceded	Catches	Stumpings	Auction_Price_Cr
Aarav Shekhawat	Batsman	12	512	378	1	4	1	2	18	8	0	14.5
Dev Malhotra	Batsman	11	468	340	0	4	0	1	12	7	0	12.2
Rishan Bedi	Batsman	10	355	250	0	3	0	0	0	6	0	8.5
Kunal Purohit	Batsman	9	298	210	0	2	0	0	0	5	0	6.2
Yash Vartak	Batsman	13	540	402	1	5	2	3	25	10	0	17.3
Manan Kapoor	Batsman	8	265	185	0	2	0	0	0	4	0	5.5
Rajat Talwar	Batsman	14	525	415	1	4	1	2	20	9	0	15.6
Nikhil Arora	Batsman	12	410	305	0	3	0	0	0	6	0	9.2
Samar Khatri	Batsman	10	280	195	0	2	0	0	0	5	0	5.8
Aditya Solanki	Batsman	11	360	270	0	3	1	1	15	7	0	8.7
Harshil Mehta	Batsman	9	250	182	0	2	0	0	0	3	0	4.8
Pranav Wagh	Batsman	13	495	368	1	4	2	3	28	9	0	13.9
Ishaan Dhamija	Batsman	12	445	330	0	4	0	0	0	6	0	10.5
Tanish Roy	Batsman	10	310	225	0	2	0	0	0	5	0	6.5
Vedant Kulkarni	Batsman	11	275	200	0	2	0	0	0	4	0	5.2
Arjun Bhalerao	Bowler	12	85	60	0	0	18	48	390	6	0	11.8
Siddharth Kaulkar	Bowler	11	70	50	0	0	15	42	340	5	0	9.7
Mohit Deshpande	Bowler	10	45	30	0	0	12	36	300	4	0	7.5
Laksh Nayak	Bowler	13	110	75	0	0	20	52	430	8	0	14.2
Varun Jaitley	Bowler	9	40	28	0	0	10	30	250	3	0	6.2
Parth Keni	Bowler	14	95	70	0	0	22	50	420	7	0	15.5
Rahul Divate	Bowler	12	60	45	0	0	14	40	330	5	0	8.9
Neel Verma	Bowler	8	25	20	0	0	9	25	220	2	0	4.5
Saurabh Pathak	Bowler	10	55	38	0	0	13	34	290	4	0	7.2
Gagan Trivedi	Bowler	11	75	55	0	0	16	45	360	6	0	10.6
Ritwik Sahaal	Bowler	13	100	78	0	0	19	48	410	7	0	13.4
Hemant Luniya	Bowler	9	35	25	0	0	11	28	240	3	0	5.8
Keshav Rawat	Bowler	12	90	65	0	0	17	44	350	6	0	11.2
Yuvraj Mahadik	Bowler	10	50	35	0	0	12	33	275	4	0	7.1
Tarun Sethi	Bowler	11	65	48	0	0	14	39	315	5	0	8.4
Rohan Mankad	All-Rounder	12	320	240	0	3	12	32	290	7	0	12.9
Amitesh Pillai	All-Rounder	11	260	200	0	2	10	28	250	6	0	10.4
Dhruv Menon	All-Rounder	10	210	160	0	1	8	24	210	5	0	8.1
Kartik Iyer	All-Rounder	13	340	255	0	3	14	36	310	8	0	15.2
Soham Borkar	All-Rounder	9	180	130	0	1	7	20	190	4	0	6.3
Jayant Pande	All-Rounder	14	350	260	0	3	15	38	330	9	0	16.8
Nirav Doshi	All-Rounder	12	275	205	0	2	11	30	270	6	0	11.5
Arpit Bansal	All-Rounder	8	160	125	0	1	6	18	160	3	0	5.2
Siddhant Gokhale	All-Rounder	11	300	230	0	2	13	34	295	7	0	13.6
Manav Reddy	All-Rounder	10	220	170	0	1	9	26	230	5	0	9.1
Harit Shah	All-Rounder	12	310	240	0	2	12	32	285	6	0	12.4
Vikram Khurana	All-Rounder	13	330	250	0	3	14	35	305	8	0	14.9
Prerit Anand	All-Rounder	9	190	150	0	1	7	22	200	4	0	6.8
Samarjeet Gill	All-Rounder	11	280	215	0	2	10	28	255	6	0	10.9
Yatin Choudhary	All-Rounder	10	240	185	0	1	9	25	220	5	0	9.3
Ritesh Walia	Wicketkeeper	12	390	300	0	3	0	0	0	14	5	13.2
Anuj Dhingra	Wicketkeeper	11	350	265	0	2	0	0	0	12	4	10.6
Piyush Kakkar	Wicketkeeper	10	280	210	0	2	0	0	0	10	3	8.3
Saket Bafna	Wicketkeeper	13	410	315	0	4	0	0	0	16	6	15.8
Rohit Tamhane	Wicketkeeper	9	200	150	0	1	0	0	0	8	2	5.1
Naman Luthra	Wicketkeeper	14	420	320	0	4	0	0	0	18	7	17.5
Tejas Panchal	Wicketkeeper	12	305	230	0	2	0	0	0	11	4	9.2
Harsh Daga	Wicketkeeper	8	190	140	0	1	0	0	0	7	2	4.3
Karan Bhise	Wicketkeeper	11	260	195	0	2	0	0	0	9	3	7.6
Uday Patwardhan	Wicketkeeper	10	240	180	0	1	0	0	0	8	2	6.2
Vivek Shetty	Wicketkeeper	12	330	250	0	3	0	0	0	12	5	11.8
Darshil Vora	Wicketkeeper	13	360	275	0	3	0	0	0	13	6	12.7
Keshin Parekh	Wicketkeeper	9	210	160	0	1	0	0	0	8	2	5.4
Lakshay Oberoi	Wicketkeeper	11	295	220	0	2	0	0	0	10	4	8.9
Pratham Goyal	Wicketkeeper	10	225	170	0	1	0	0	0	9	3	6.5
